region,sale_date,temp_f,precip
West Wisconsin,2026-05-20,30.5,True
West Wisconsin,2026-05-21,45.2,True
West Wisconsin,2026-05-22,14.5,False
West Wisconsin,2026-05-23,38.7,False
West Wisconsin,2026-05-24,24.2,False
West Wisconsin,2026-05-25,53.2,False
West Wisconsin,2026-05-26,74.3,True
West Wisconsin,2026-05-27,81.7,False
West Wisconsin,2026-05-28,91.2,False
West Wisconsin,2026-05-29,20.0,False
West Wisconsin,2026-05-30,55.4,True
West Wisconsin,2026-05-31,30.5,False
West Wisconsin,2026-06-01,97.3,False
West Wisconsin,2026-06-02,55.9,False
West Wisconsin,2026-06-03,82.0,False
West Wisconsin,2026-06-04,56.6,False
West Wisconsin,2026-06-05,59.1,True
West Wisconsin,2026-06-06,62.2,False
West Wisconsin,2026-06-07,98.5,True
West Wisconsin,2026-06-08,20.0,True
West Wisconsin,2026-06-09,56.5,True
West Wisconsin,2026-06-10,15.2,False
West Wisconsin,2026-06-11,12.0,False
West Wisconsin,2026-06-12,24.1,False
West Wisconsin,2026-06-13,45.3,False
West Wisconsin,2026-06-14,45.5,False
West Wisconsin,2026-06-15,63.2,True
West Wisconsin,2026-06-16,87.0,False
West Wisconsin,2026-06-17,60.7,False
West Wisconsin,2026-06-18,49.1,False
West Wisconsin,2026-06-19,96.9,True
West Wisconsin,2026-06-20,46.3,False
West Wisconsin,2026-06-21,23.3,True
West Wisconsin,2026-06-22,42.6,False
West Wisconsin,2026-06-23,91.4,True
West Wisconsin,2026-06-24,13.2,False
West Wisconsin,2026-06-25,47.7,False
West Wisconsin,2026-06-26,91.9,False
West Wisconsin,2026-06-27,65.1,True
West Wisconsin,2026-06-28,68.8,False
West Wisconsin,2026-06-29,65.4,False
West Wisconsin,2026-06-30,84.2,True
West Wisconsin,2026-07-01,70.7,True
West Wisconsin,2026-07-02,16.5,False
West Wisconsin,2026-07-03,18.1,True
West Wisconsin,2026-07-04,71.5,True
West Wisconsin,2026-07-05,98.7,False
West Wisconsin,2026-07-06,82.9,True
West Wisconsin,2026-07-07,94.7,True
West Wisconsin,2026-07-08,92.3,True
West Wisconsin,2026-07-09,56.7,False
West Wisconsin,2026-07-10,87.1,True
West Wisconsin,2026-07-11,97.5,False
West Wisconsin,2026-07-12,59.3,False
West Wisconsin,2026-07-13,85.6,False
West Wisconsin,2026-07-14,86.6,False
West Wisconsin,2026-07-15,97.2,True
West Wisconsin,2026-07-16,22.1,True
West Wisconsin,2026-07-17,83.1,False
West Wisconsin,2026-07-18,60.5,False
West Wisconsin,2026-07-19,52.3,True
West Wisconsin,2026-07-20,11.5,True
West Wisconsin,2026-07-21,36.7,True
West Wisconsin,2026-07-22,31.7,False
West Wisconsin,2026-07-23,34.0,False
West Wisconsin,2026-07-24,68.2,False
West Wisconsin,2026-07-25,39.2,False
West Wisconsin,2026-07-26,64.5,False
West Wisconsin,2026-07-27,72.2,True
West Wisconsin,2026-07-28,59.5,False
South Wisconsin,2026-05-20,48.7,False
South Wisconsin,2026-05-21,92.6,False
South Wisconsin,2026-05-22,73.9,True
South Wisconsin,2026-05-23,58.5,True
South Wisconsin,2026-05-24,73.1,False
South Wisconsin,2026-05-25,33.8,True
South Wisconsin,2026-05-26,51.4,True
South Wisconsin,2026-05-27,85.6,True
South Wisconsin,2026-05-28,58.1,False
South Wisconsin,2026-05-29,48.8,False
South Wisconsin,2026-05-30,77.6,True
South Wisconsin,2026-05-31,46.8,True
South Wisconsin,2026-06-01,95.2,True
South Wisconsin,2026-06-02,37.6,True
South Wisconsin,2026-06-03,61.5,False
South Wisconsin,2026-06-04,29.0,True
South Wisconsin,2026-06-05,74.2,True
South Wisconsin,2026-06-06,27.3,False
South Wisconsin,2026-06-07,21.0,False
South Wisconsin,2026-06-08,90.6,False
South Wisconsin,2026-06-09,12.8,True
South Wisconsin,2026-06-10,62.9,False
South Wisconsin,2026-06-11,51.4,True
South Wisconsin,2026-06-12,44.1,True
South Wisconsin,2026-06-13,24.7,False
South Wisconsin,2026-06-14,58.4,False
South Wisconsin,2026-06-15,35.0,False
South Wisconsin,2026-06-16,37.1,False
South Wisconsin,2026-06-17,59.5,True
South Wisconsin,2026-06-18,17.5,False
South Wisconsin,2026-06-19,57.1,False
South Wisconsin,2026-06-20,64.7,False
South Wisconsin,2026-06-21,10.1,False
South Wisconsin,2026-06-22,50.5,False
South Wisconsin,2026-06-23,69.8,False
South Wisconsin,2026-06-24,42.6,False
South Wisconsin,2026-06-25,47.2,True
South Wisconsin,2026-06-26,49.8,True
South Wisconsin,2026-06-27,88.5,True
South Wisconsin,2026-06-28,27.0,False
South Wisconsin,2026-06-29,69.8,False
South Wisconsin,2026-06-30,56.1,True
South Wisconsin,2026-07-01,91.4,False
South Wisconsin,2026-07-02,38.0,False
South Wisconsin,2026-07-03,49.6,True
South Wisconsin,2026-07-04,12.9,False
South Wisconsin,2026-07-05,92.7,True
South Wisconsin,2026-07-06,89.9,True
South Wisconsin,2026-07-07,28.0,False
South Wisconsin,2026-07-08,39.2,True
